fromstop,tostop,fft,length,capacity
4,11,30,0,-
11,23,40,0
23,24,10,0
1,3,20,0
3,12,20,0
12,13,15,0
13,24,20,0
11,14,20,0
14,23,20,0
23,24,10,0
24,13,20,0
8,20,55,0
20,21,30,0
21,22,10,0
22,23,20,0
7,8,15,0
8,16,25,0
16,18,15,0
18,20,20,0
14,15,25,0
15,19,15,0
19,20,20,0
20,22,25,0
22,23,20,0
2,6,25,0
6,8,10,0
8,9,50,0
9,10,15,0
10,11,25,0
11,12,30,0
4,5,10,0
5,9,25,0
9,10,15,0
10,17,40,0
17,19,10,0
19,20,20,0
10,16,20,0
16,17,10,0
17,19,10,0
19,20,20,0
20,21,30,0
21,24,15,0
1,3,20,0
3,4,20,0
4,5,10,0
5,9,25,0
9,10,15,0
10,15,30,0
15,19,15,0
19,20,20,0

